game_id,game_versions
268008982667350,1.0.5
268008982667388,1.0.0
268008982642792,1.0.0
268008982650985,2.0.0
268008982663267,1.0.0
268008982667368,2.0.0
268008982642798,1.0.0
268008982655090,1.0.0
268008982667358,1.0.0
279330041741381,1.0.0
268008982663278,2.0.0
225528186135045,2.0.0
268008982667381,2.0.0
268008982667380,3.0.0
240406295777861,3.0.1;3.0.2
268008982663260,1.0.0
238267995484229,v1.0.0
238279920537669,3.0.0
324179964613381,2.0.0
384311706735365,1.0.0;2.0.0
265520726213317,1.2.0
396559862781125,1.0.0
268008982671457,
279044271042629,
268008982646865,
268008982655064,
268008982655072,
280443619795013,
386597615997829,1.0.0
268008982671439,1.0.0
268008982655069,1.0.0
268008982650988,1.0.0
268008982667391,1.0.0;2.0.0
268008982663290,1.0.0
268008982667347,1.0.0;1.1.0
239263162577477,1.0.0
239263721484357,2.0.0
239264243732549,1.0.0
224374703641029,1.0.0
268008982646874,1.0.1
268008982655059,2.0.0
268008982659166,1.0.2
281039429226565,2.0.0
268008982663269,1.0.0
224377200398533,1.0.0;1.0.2
224379118576069,1.0.0;1.1.0
238239294447813,1.0.0
224378628399301,1.0.0
268008982659192,1.0.0
265086851706949,3.0.0
225525822632453,1.0.1
224377872388293,2.0.0
380173315257221,1.0.0;1.0.1
268008982655053,2.0.0
224375977935045,2.0.0
383626886017797,1.0.0
383795602420485,1.0.0
383791726646021,1.0.0
383679060169477,1.0.0
383674715747205,1.0.0
391429131297669,1.0.0
383634608857989,1.0.0
383628661912453,1.0.0
375917432341381,1.0.1
268008982642811,2.1.0
324179001000709,2.0.0
355740333933445,1.0.0
386196539900677,1.0.1
355740871500677,1.0.1
268008982642793,1.0.0
225191359021253,1.0.2
380176247862021,1.0.0
268008982642772,1.0.0
383668915696517,1.0.0
380174783693701,1.0.0;1.0.1
225191769534981,1.0.1
375903641948933,1.0.0
375917961736965,2.0.0
375932568191877,1.0.0
380174879445893,1.0.0;1.0.1
375933823447813,1.0.0
322148361573125,1.0.1;1.0.2
324181013119877,1.0.0
324182449562501,1.0.0
361750352892805,1.0.0
324177880433541,2.0.0
411281158706373,1.0.0
383637084689157,1.0.0
225525419221509,1.0.1
224376556507589,1.0.1
375934626087813,2.0.0
381560965628805,1.0.0
386185817178885,1.0.0;1.0.1
375916542735109,1.0.0
380173961339781,1.0.1
381576542159749,1.0.0;1.0.1
268008982659144,3.0.0
224383397556421,2.0.0
356101783560965,2.0.0
383670005867269,1.0.0
383639942255493,1.0.0
383637861135109,1.0.0
388594665001861,2.0.0
388200929063813,1.0.0
388595402609413,1.0.0
383366895919877,1.0.1;1.0.2
